	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
TBX21	-0.053992202816190916	-0.008538233104530148	-1.9035252020743552	0.057965046220093235	0.08996060391088727	1.0459476377819195
FOXO1	-0.004711386056406172	0.07471710641724756	-1.9135664681124893	0.05671783905516139	0.08824338731410966	1.0543178294029605
NFKB1	-0.04472128833826447	-0.01940256564359807	-2.0284913381832848	0.043748649044698246	0.06979746297970942	1.1561603629633286
TP73	0.25703794704821975	0.4295808224085666	-2.0325312452963273	0.043412140808977026	0.06961486518472787	1.1572980135737045
AATF	-0.18922715990987118	0.05671207917088164	-2.050228768072452	0.041710175188918265	0.06722951116568573	1.172440046544132
LMO2	-0.09211160212635726	-0.020806145206316986	-2.093792349451405	0.03719758650335409	0.06057892659117666	1.2176784262765026
SMAD3	-0.054143603772394355	0.028746680776565916	-2.115261106559942	0.035458471233969696	0.0582001608997356	1.23507581470113
KCNIP3	-0.056863547249901364	0.0305317787903654	-2.1394273141314493	0.033281439027825474	0.05491437439591203	1.260313959671836
ZNF143	-0.46621339201254763	-0.279291774934111	-2.1630900773950414	0.03176767180394248	0.05269399529384109	1.278238871681765
RFWD2	-0.3254905462444631	0.10216022395930338	-2.171587508269847	0.031009969124314564	0.05171077298123732	1.2864189702732423
HMGA1	-0.07638699918255482	-0.002611554622937908	-2.1773706538949633	0.030454786466816666	0.051056553782604416	1.291948502569537
EAF1	-0.11738758726123062	-0.048266412033932615	-2.197415488057887	0.028881972945524814	0.04894323523471367	1.3103073263993334
BTF3	-0.04814098509035918	0.02442001511353787	-2.197911711481873	0.028796781847642686	0.048931117123230256	1.3104148689546289
KLF13	-0.1459377202724618	0.041810822464967756	-2.2220795604885293	0.02740973260012994	0.046828071771884125	1.3294937246879486
TCF4	-0.2663841631114732	-0.1715883141362783	-2.228680807369846	0.026960986587426954	0.04618726390796912	1.3354777642065017
LMX1B	-0.2095686170929685	-0.037972483982902885	-2.270227454735577	0.024116960689862563	0.04165656846430806	1.3803165087136868
HOXC6	-0.2871995356679663	0.0989752125289265	-2.3490017071969915	0.019759961678219282	0.03460753064872483	1.460829387816308
SATB2	-0.1550989696684303	-0.023975989756161217	-2.352037903940985	0.01933184236567964	0.03414384553036939	1.4666875670359645
GCM2	-0.135959107510418	-0.08261904607620749	-2.353252470740088	0.019450332547800157	0.03416066808815322	1.4664736443015012
