	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
ZEB2	-0.12161594154398102	-0.0821392103294328	-0.5169064435689221	0.6060228961475345	0.677319707459009	0.16920628787188519
DR1	-0.22639331036797516	-0.17834054866378432	-0.520749474053567	0.6036348856953266	0.6758554880910176	0.17014615529199417
RBPJ	-0.006027361331863579	0.04175965512892123	-0.5327139165949599	0.5950877887222574	0.6686739131341495	0.1747856195290991
BARD1	-0.09568719715310837	-0.06042287893803489	-0.5553578063100044	0.5795747016569501	0.6535851401778916	0.1846978304231724
GFI1	0.0031258752161309835	0.05898069238027399	-0.5566674880329305	0.578704105199886	0.6535851401778916	0.1846978304231724
ZNF175	-0.13516577112123093	-0.08406542727635373	-0.5576384270858861	0.5781164618428243	0.6535851401778916	0.1846978304231724
ESRRA	0.07165904726055654	0.12039778371472634	-0.5604092564513586	0.5763394528436461	0.6534626345984921	0.18477924060314913
STAT3	-0.037070304896739216	-0.028525455267930894	-0.5923239181714757	0.5546420145596536	0.6300009839291717	0.20065877226915455
NFIX	-0.19056679881869135	-0.08656106861747705	-0.6049868757324476	0.5463521161440845	0.6217110287156824	0.20641142848534258
HNF1B	-0.17414816600576816	-0.10918868296885789	-0.6111712470879288	0.5420270682424894	0.617910857796438	0.20907417338932416
KLF15	-0.015837875176868323	0.013976738681490646	-0.6435532595778101	0.5210653785128541	0.5983662863142115	0.2230328838604596
ESR2	0.05234352644682772	0.09260572846768562	-0.6573887184116279	0.5119479919371616	0.5889750292561474	0.22990311758327375
ZNRD1	-0.023503192374460625	0.025852773211798512	-0.6636883205808717	0.507929077198462	0.5854256091974921	0.23252828345690554
BRD7	0.07649116001216233	0.1277096101020703	-0.6715866640721743	0.5031801193256733	0.5810201377848935	0.23580881498093506
CREG1	-0.022708315372377823	0.02173163250626095	-0.6997550244822621	0.48512678456077785	0.5632696117711098	0.24928367819144565
DEK	-0.06126758780154294	-0.019296555092563755	-0.7022206491746705	0.48333248297162157	0.5622439087629068	0.2500752409256558
HDAC7	-0.0118089555769271	0.01636000470106997	-0.7047598396213856	0.4820951090691592	0.5618469022051353	0.2503820093162629
VEZF1	-0.1150714484166043	-0.08231823943098492	-0.7560107452245146	0.45087266037338436	0.5313856354400601	0.2745901897327338
FOXE1	0.3702966534497543	0.5521947613451735	-0.7863237558612829	0.43301008271449903	0.5151751837988442	0.28804506528877005
GTF2I	-0.11951505141212297	-0.05977227700401128	-0.790689699347983	0.43051672720801715	0.5131824866148798	0.2897281732174134
MTA3	-0.02283667486196569	0.03363613416605727	-0.8284184071637428	0.4088662918563488	0.490170487560097	0.30965284052506414
