	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
ZEB1	-0.343	-0.037	-6.792	7.922e-11	9.934e-10	9.003	-0.342	-0.130	-3.327	1.191e-03	3.245e-03	2.489
ZEB2	-0.429	-0.042	-5.633	4.964e-08	3.176e-07	6.498	-0.122	-0.082	-0.517	6.060e-01	6.773e-01	0.169
ZFHX3	0.472	0.363	1.435	1.526e-01	2.117e-01	0.674	0.126	0.106	0.244	8.079e-01	8.514e-01	0.070
ZFP36	-0.355	-0.045	-6.255	1.754e-09	1.719e-08	7.765	-0.377	0.001	-5.923	3.537e-08	3.412e-07	6.467
ZFP36L1	-0.889	0.187	-6.105	3.234e-09	2.816e-08	7.550	-0.805	0.234	-4.204	5.026e-05	2.144e-04	3.669
ZHX2	1.457	0.434	9.110	7.478e-17	3.349e-15	14.475	1.438	0.354	8.668	8.004e-14	3.585e-12	11.446
ZIC1	0.180	0.040	2.627	9.225e-03	1.813e-02	1.742	0.157	0.125	0.474	6.364e-01	7.038e-01	0.153
ZIC2	0.015	0.052	-0.232	8.164e-01	8.517e-01	0.070	-0.113	0.270	-1.841	6.796e-02	1.068e-01	0.971
ZMYND11	0.303	0.449	-1.010	3.137e-01	3.887e-01	0.410	0.217	0.207	0.067	9.470e-01	9.592e-01	0.018
ZNF143	-0.466	-0.279	-2.163	3.177e-02	5.269e-02	1.278	-0.382	-0.253	-1.660	9.972e-02	1.503e-01	0.823
ZNF148	0.219	-0.029	4.240	3.329e-05	1.173e-04	3.931	-0.594	-0.154	-4.768	5.312e-06	2.823e-05	4.549
ZNF160	2.020	0.642	6.085	6.047e-09	4.624e-08	7.335	0.600	0.059	1.707	9.041e-02	1.379e-01	0.860
ZNF175	0.199	-0.102	3.794	1.860e-04	5.687e-04	3.245	-0.135	-0.084	-0.558	5.781e-01	6.536e-01	0.185
ZNF202	-0.415	-0.080	-4.768	3.244e-06	1.507e-05	4.822	-0.626	-0.210	-5.396	3.429e-07	2.312e-06	5.636
ZNF217	-0.533	0.087	-4.348	1.919e-05	7.140e-05	4.146	-0.784	-0.142	-4.171	5.559e-05	2.263e-04	3.645
ZNF224	-0.034	-0.149	1.237	2.173e-01	2.881e-01	0.541	0.593	0.234	2.795	5.910e-03	1.296e-02	1.888
ZNF239	-0.033	-0.024	-0.252	8.012e-01	8.443e-01	0.074	-0.145	-0.029	-3.078	2.504e-03	6.157e-03	2.211
ZNF24	-0.524	0.032	-5.513	9.606e-08	5.848e-07	6.233	-0.385	0.162	-4.616	9.610e-06	4.782e-05	4.320
ZNF267	-0.058	0.141	-1.178	2.398e-01	3.113e-01	0.507	-0.666	0.023	-2.986	3.387e-03	8.075e-03	2.093
ZNF300	-0.558	-0.220	-3.140	1.948e-03	4.573e-03	2.340	-0.848	-0.150	-5.872	5.333e-08	4.846e-07	6.315
ZNF350	0.570	-0.023	4.455	1.642e-05	6.276e-05	4.202	0.595	0.161	4.678	7.901e-06	4.028e-05	4.395
ZNF382	0.079	-0.046	2.524	1.234e-02	2.344e-02	1.630	0.510	0.122	5.596	1.342e-07	1.039e-06	5.983
ZNF383	-1.114	-0.198	-5.435	1.728e-07	1.032e-06	5.986	-0.737	-0.160	-4.808	4.491e-06	2.492e-05	4.603
ZNF444	-0.142	-0.080	-0.806	4.214e-01	4.965e-01	0.304	0.103	-0.020	1.446	1.505e-01	2.110e-01	0.676
ZNF76	-0.889	-0.597	-2.568	1.092e-02	2.121e-02	1.674	-0.506	-0.172	-3.168	1.994e-03	5.167e-03	2.287
ZNRD1	-0.212	-0.215	0.033	9.734e-01	9.813e-01	0.008	-0.024	0.026	-0.664	5.079e-01	5.854e-01	0.233
