	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_A375	negLog10_FDR	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR_HT29	negLog10_FDR
ELF3	-0.102	-0.007	-0.974	3.310e-01	4.054e-01	0.392	-0.030	-0.019	-0.109	9.134e-01	9.328e-01	0.030
ELF4	-0.265	0.228	-4.209	3.547e-05	1.242e-04	3.906	0.118	0.042	0.637	5.252e-01	6.009e-01	0.221
ELK1	-0.523	-0.054	-6.811	1.703e-10	1.977e-09	8.704	-0.550	-0.073	-6.990	2.503e-10	4.321e-09	8.364
ELK3	-0.006	-0.111	1.629	1.044e-01	1.505e-01	0.822	0.094	0.063	0.456	6.492e-01	7.154e-01	0.145
ELK4	0.553	0.078	3.130	1.989e-03	4.652e-03	2.332	-0.001	0.063	-0.277	7.822e-01	8.369e-01	0.077
ELL	-0.430	-0.330	-1.248	2.135e-01	2.836e-01	0.547	-0.070	-0.051	-0.229	8.196e-01	8.579e-01	0.067
EN1	-0.049	-0.067	0.249	8.037e-01	8.450e-01	0.073	0.325	0.061	2.674	8.469e-03	1.776e-02	1.751
ENO1	-0.143	-0.295	0.906	3.661e-01	4.431e-01	0.353	2.226	0.387	5.905	6.966e-08	5.902e-07	6.229
EP300	0.037	-0.039	2.352	1.944e-02	3.416e-02	1.466	0.084	-0.085	3.634	4.141e-04	1.318e-03	2.880
EPAS1	-0.006	-0.106	1.775	7.705e-02	1.161e-01	0.935	-0.086	-0.214	1.986	4.930e-02	7.967e-02	1.099
ERCC2	0.655	0.321	4.558	7.847e-06	3.347e-05	4.475	-0.027	0.039	-1.015	3.120e-01	3.905e-01	0.408
ERF	-0.180	-0.118	-0.882	3.784e-01	4.546e-01	0.342	0.128	0.049	1.110	2.690e-01	3.437e-01	0.464
ERG	-0.038	-0.031	-0.195	8.454e-01	8.803e-01	0.055	0.000	-0.031	0.757	4.504e-01	5.314e-01	0.275
ESR1	-0.149	-0.068	-3.760	2.126e-04	6.379e-04	3.195	-0.140	-0.042	-3.760	2.635e-04	8.695e-04	3.061
ESR2	0.363	0.341	0.362	7.177e-01	7.692e-01	0.114	0.052	0.093	-0.657	5.119e-01	5.890e-01	0.230
ESRRA	-0.020	0.145	-3.064	2.408e-03	5.510e-03	2.259	0.072	0.120	-0.560	5.763e-01	6.535e-01	0.185
