From	To
P23921	RRM1
P45983	MAPK8
P09668	CTSH
P24723	PRKCH
P19838	NFKB1
Q8TCT0	CERK
P05771	PRKCB
P51798	CLCN7
Q96BY7	ATG2B
P08246	ELANE
Q14627	IL13RA2
P08581	MET
P09238	MMP10
P67775	PPP2CA
K7X7T4	NS5A
O60885	BRD4
P53350	PLK1
Q9H4H8	FAM83D
P05162	LGALS2
P0AC16	folB
P38631	FKS1
Q13126	MTAP
P08151	GLI1
P47989	XDH
Q99814	EPAS1
O14514	ADGRB1
P22736	NR4A1
P07711	CTSL
P55201	BRPF1
Q8TAD2	IL17D
Q01581	HMGCS1
P16444	DPEP1
P22455	FGFR4
P00533	EGFR
P18089	ADRA2B
P49407	ARRB1
P20035	LACZ
Q9HCP0	CSNK1G1
P48546	GIPR
Q9NWZ3	IRAK4
P09436	ILS1
Q99801	NKX3-1
P01584	IL1B
Q9BX95	SGPP1
O95718	ESRRB
Q15059	BRD3
Q9Y223	GNE
Q56UN5	MAP3K19
P03378	env
Q96CA5	BIRC7
P11678	EPX
P0C7U7	lcrV
P53582	METAP1
P0A0J0	sigA
P42262	GRIA2
O75899	GABBR2
O15075	DCLK1
Q7DJJ2	stxII
P15531	NME1
Q93009	USP7
Q96F46	IL17RA
O15554	KCNN4
P22830	FECH
P03402	vif
P43355	MAGEA1
P16753	UL80
Q96P66	GPR101
Q14511	NEDD9
Q9NSA1	FGF21
Q96PY6	NEK1
Q8N608	DPP10
P08575	PTPRC
P35398	RORA
O60259	KLK8
P06463	E6
P08709	F7
Q99665	IL12RB2
P30825	SLC7A1
Q14512	FGFBP1
O60602	TLR5
P80365	HSD11B2
P02746	C1QB
P03540	GPC
O15263	DEFB4A
O15263	DEFB4B
P19883	FST
O00300	TNFRSF11B
P14061	HSD17B1
P29972	AQP1
P08588	ADRB1
Q15389	ANGPT1
P05091	ALDH2
Q9NRA2	SLC17A5
Q92772	CDKL2
O15146	MUSK
P50750	CDK9
P17302	GJA1
P40199	CEACAM6
P9WJJ7	nadC
Q14721	KCNB1
Q9UHD0	IL19
Q9UQQ2	SH2B3
P32927	CSF2RB
A0A0L1IBZ3	PFMG_03053
Q9GZX6	IL22
Q9UM47	NOTCH3
Q05655	PRKCD
P06725	UL83
Q9NVN3	RIC8B
P19320	VCAM1
P43155	CRAT
Q03148	SNZ1
Q96T53	MBOAT4
P34998	CRHR1
Q9ULA0	DNPEP
P02765	AHSG
P00750	PLAT
P62324	BTG1
P10226	UL42
P06748	NPM1
P10636	MAPT
P32881	IFNA8
P20142	PGC
Q5ZPR3	CD276
P24071	FCAR
P42773	CDKN2C
P25942	CD40
P54277	PMS1
Q68DV7	RNF43
Q8IVH8	MAP4K3
P50591	TNFSF10
Q99958	FOXC2
P40967	PMEL
P08172	CHRM2
Q9H8M2	BRD9
Q16769	QPCT
P08195	SLC3A2
P28039	AOAH
P30305	CDC25B
A6NN92	GJE1
P48443	RXRG
P41252	IARS
O43508	TNFSF12
Q53HL2	CDCA8
P16870	CPE
P20292	ALOX5AP
P49759	CLK1
P41279	MAP3K8
Q96GD4	AURKB
Q9Y6L6	SLCO1B1
O95969	SCGB1D2
P21918	DRD5
P43246	MSH2
Q92835	INPP5D
P09683	SCT
P25103	TACR1
P45844	ABCG1
P11362	FGFR1
P05129	PRKCG
Q13043	STK4
P36956	SREBF1
O43826	SLC37A4
P84077	ARF1
P27037	ACVR2A
P01889	HLA-B
P08397	HMBS
P14598	NCF1
P16220	CREB1
O00341	SLC1A7
Q4VCS5	AMOT
Q8IDW1	PF3D7_1337100
P36896	ACVR1B
Q9Y251	HPSE
P29376	LTK
O60494	CUBN
Q9H444	CHMP4B
P35372	OPRM1
Q9UN76	SLC6A14
P16422	EPCAM
P13385	TDGF1
Q15139	PRKD1
O95136	S1PR2
P27815	PDE4A
O60262	GNG7
P36382	GJA5
P23025	XPA
P08069	IGF1R
P52926	HMGA2
P49286	MTNR1B
Q01650	SLC7A5
Q13261	IL15RA
Q28773	KLK1
P17927	CR1
O95238	SPDEF
Q7KZ06	K-RAS
Q9NR97	TLR8
Q07108	CD69
Q92753	RORB
O43557	TNFSF14
O14746	TERT
P28074	PSMB5
P07098	LIPF
Q9UKP6	UTS2R
P48547	KCNC1
P35711	SOX5
P51955	NEK2
O00591	GABRP
P78363	ABCA4
Q99466	NOTCH4
P54760	EPHB4
P21246	PTN
Q15569	TESK1
P78380	OLR1
Q00613	HSF1
Q12570	lcc1
P30203	CD6
O75581	LRP6
O95163	ELP1
