SM_LINCS_ID	SM_Center_Canonical_ID
LSM-1641	BRD-A54927599
LSM-1642	BRD-A55369275
LSM-1643	BRD-A55393291
LSM-1644	BRD-A55416093
LSM-1646	BRD-A55554369
LSM-1647	BRD-A55594068
LSM-1648	BRD-A55609290
LSM-1649	BRD-A55913614
LSM-1650	BRD-A68891053
LSM-1651	CGC00000163
LSM-1651	BRD-A55962179
LSM-1652	BRD-A56012032
LSM-1653	BRD-A56020723
LSM-1654	BRD-A56675431
LSM-1655	BRD-A56831909
LSM-1656	BRD-A56987319
LSM-1657	BRD-A57382968
LSM-1658	BRD-A57457122
LSM-1659	BRD-A58048407
LSM-1660	BRD-A58157837
LSM-1661	BRD-A58269583
LSM-1663	BRD-A58924247
LSM-1664	BRD-A59174698
LSM-1665	BRD-A59215453
LSM-1666	BRD-A59303141
LSM-1667	BRD-A59900482
LSM-1668	BRD-A59943784
LSM-1669	BRD-A60197193
LSM-1670	BRD-A60274948
LSM-1671	BRD-A60294240
LSM-1672	BRD-A60414806
LSM-1673	BRD-A60571864
LSM-1674	BRD-A60583491
LSM-1675	BRD-A60784279
LSM-1676	BRD-A61189834
LSM-1677	BRD-A61392169
LSM-1678	BRD-A61470182
LSM-1679	BRD-A61599461
LSM-1680	BRD-A61793559
LSM-1681	BRD-A61825514
LSM-1682	BRD-A61899133
LSM-1683	BRD-A62021152
LSM-1684	BRD-A62035778
LSM-1685	BRD-A62057054
LSM-1686	BRD-A62071884
LSM-1686	BRD-A91992993
LSM-1687	BRD-A62184259
LSM-1688	BRD-A62336480
LSM-1689	BRD-A62496920
LSM-1690	BRD-A62525898
LSM-1691	BRD-A62647958
LSM-1692	BRD-A63043573
LSM-1693	BRD-A63346720
LSM-1694	BRD-A63546914
LSM-1695	BRD-A63667919
LSM-1696	BRD-A63836183
LSM-1697	BRD-A63894585
LSM-1698	BRD-A63949900
LSM-1699	BRD-A63998256
LSM-1700	BRD-A64092382
LSM-1701	BRD-A64125466
LSM-1702	BRD-A64227845
LSM-1703	BRD-A64290322
LSM-1704	BRD-A64850503
LSM-1705	BRD-A64933752
LSM-1706	BRD-A64977602
LSM-1707	BRD-A65076780
LSM-1708	BRD-A65145453
LSM-1709	BRD-A65280694
LSM-1710	BRD-A65440446
LSM-1711	BRD-A65449987
LSM-1712	BRD-A65516924
LSM-1713	BRD-A65550283
LSM-1714	BRD-A65597028
LSM-1715	BRD-A65615053
LSM-1716	BRD-A65671304
LSM-1717	BRD-A65739223
LSM-1718	BRD-A65767837
LSM-1719	BRD-A66199457
LSM-1720	BRD-A66435872
LSM-1721	BRD-A66559694
LSM-1722	BRD-A66563878
LSM-1723	BRD-A66604020
LSM-1724	BRD-A66846505
LSM-1725	BRD-A66861218
LSM-1726	BRD-A66927094
LSM-1727	BRD-A67433117
LSM-1728	BRD-A67479912
LSM-1729	CGC00000239
LSM-1729	BRD-A67799922
LSM-1730	BRD-A67862938
LSM-1731	BRD-A68009927
LSM-1732	BRD-A68039575
LSM-1733	BRD-A68065211
LSM-1734	BRD-A68281735
LSM-1735	BRD-A68397902
LSM-1736	BRD-A68723818
LSM-1737	BRD-A68820570
LSM-1738	BRD-A68890828
LSM-1739	BRD-A68929948
LSM-1740	BRD-A68930007
LSM-1741	BRD-A69421747
LSM-1742	BRD-A69429454
LSM-1743	BRD-A69470004
LSM-1744	BRD-A69636825
LSM-1745	BRD-A69917777
LSM-1746	BRD-A69960130
LSM-1747	BRD-A70268693
LSM-1748	BRD-A70407468
LSM-1749	BRD-A70461345
LSM-1750	BRD-A70514680
LSM-1750	CGC00002023
